algorithm,dataset,theta,lambda,indexing,time,entries,candidates,similarities,matches
MiniBatch,teste.t,0.5,1.0E-4,INV,135,22139,5567,5567,758
MiniBatch,teste.t,0.5,1.0E-4,L2,143,18058,3347,1742,758
MiniBatch,teste.t,0.5,1.0E-4,L2AP,144,17547,3288,1957,757
MiniBatch,teste.t,0.5,0.001,INV,132,22139,5567,5567,754
MiniBatch,teste.t,0.5,0.001,L2,140,18058,3347,1742,754
MiniBatch,teste.t,0.5,0.001,L2AP,146,17547,3288,1957,754
MiniBatch,teste.t,0.5,0.01,INV,132,22139,5567,5567,737
MiniBatch,teste.t,0.5,0.01,L2,139,18058,3350,1742,737
MiniBatch,teste.t,0.5,0.01,L2AP,145,17406,3238,1969,737
MiniBatch,teste.t,0.5,0.1,INV,108,7089,998,998,208
MiniBatch,teste.t,0.5,0.1,L2,118,5591,768,563,208
MiniBatch,teste.t,0.5,0.1,L2AP,116,4348,652,590,208
MiniBatch,teste.t,0.6,1.0E-4,INV,131,22139,5567,5567,709
MiniBatch,teste.t,0.6,1.0E-4,L2,141,16367,2336,1246,709
MiniBatch,teste.t,0.6,1.0E-4,L2AP,142,15969,2319,1290,708
MiniBatch,teste.t,0.6,0.001,INV,130,22139,5567,5567,707
MiniBatch,teste.t,0.6,0.001,L2,139,16367,2336,1246,707
MiniBatch,teste.t,0.6,0.001,L2AP,141,15969,2319,1290,706
MiniBatch,teste.t,0.6,0.01,INV,130,20660,4962,4962,644
MiniBatch,teste.t,0.6,0.01,L2,134,15110,2180,1172,644
MiniBatch,teste.t,0.6,0.01,L2AP,138,14637,2072,1242,644
MiniBatch,teste.t,0.6,0.1,INV,102,5400,741,741,119
MiniBatch,teste.t,0.6,0.1,L2,106,3722,543,428,119
MiniBatch,teste.t,0.6,0.1,L2AP,108,2742,450,411,119
MiniBatch,teste.t,0.7,1.0E-4,INV,130,22139,5567,5567,579
MiniBatch,teste.t,0.7,1.0E-4,L2,133,12468,2808,1436,579
MiniBatch,teste.t,0.7,1.0E-4,L2AP,136,12174,2747,1463,579
